game_id,seed,setup,my_power,my_agent,opp_agent,end_reason,final_phase,num_phases,sc_AUSTRIA,sc_ENGLAND,sc_FRANCE,sc_GERMANY,sc_ITALY,sc_RUSSIA,sc_TURKEY,sos_AUSTRIA,sos_ENGLAND,sos_FRANCE,sos_GERMANY,sos_ITALY,sos_RUSSIA,sos_TURKEY,c1_AUSTRIA,c2_AUSTRIA,c3_AUSTRIA,c4_AUSTRIA,c1_ENGLAND,c2_ENGLAND,c3_ENGLAND,c4_ENGLAND,c1_FRANCE,c2_FRANCE,c3_FRANCE,c4_FRANCE,c1_GERMANY,c2_GERMANY,c3_GERMANY,c4_GERMANY,c1_ITALY,c2_ITALY,c3_ITALY,c4_ITALY,c1_RUSSIA,c2_RUSSIA,c3_RUSSIA,c4_RUSSIA,c1_TURKEY,c2_TURKEY,c3_TURKEY,c4_TURKEY,support_success_AUSTRIA,support_total_AUSTRIA,support_success_ENGLAND,support_total_ENGLAND,support_success_FRANCE,support_total_FRANCE,support_success_GERMANY,support_total_GERMANY,support_success_ITALY,support_total_ITALY,support_success_RUSSIA,support_total_RUSSIA,support_success_TURKEY,support_total_TURKEY
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed0,0,1v6,RUSSIA,consistent,dipnet,solo_18sc_RUSSIA,F1907R,31,0,6,6,2,1,18,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,10,18,29,16,42,13,25,4,10,27,32,9,24
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed2,2,1v6,RUSSIA,consistent,dipnet,solo_18sc_FRANCE,F1911R,48,0,0,18,1,4,5,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,2,0,0,0,2,0,1,3,3,0,0,0,0,0,0,1,2,0,0,6,8,21,36,52,80,24,31,36,98,20,35,30,66
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed1,1,1v6,RUSSIA,consistent,dipnet,solo_18sc_RUSSIA,F1913R,60,0,1,4,0,2,19,8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,2,0,0,0,1,4,0,1,4,0,0,1,0,0,0,0,4,0,0,12,0,0,0,7,16,26,52,29,43,9,14,15,47,97,111,51,75
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed3,3,1v6,RUSSIA,consistent,dipnet,max_phases,F1913M,60,0,3,3,7,10,11,0,0.0,0.03125,0.03125,0.1701388888888889,0.3472222222222222,0.4201388888888889,0.0,0,2,0,0,0,0,0,0,1,4,8,2,0,3,1,0,5,2,2,0,0,0,0,0,0,0,0,0,29,46,19,19,16,19,35,46,42,78,36,49,2,17
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed5,5,1v6,RUSSIA,consistent,dipnet,solo_18sc_RUSSIA,F1909R,41,0,0,12,1,0,19,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,3,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,5,7,6,9,33,70,15,19,24,32,38,77,25,31
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed4,4,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,60,0,0,16,0,3,1,14,0.0,0.0,0.5541125541125541,0.0,0.01948051948051948,0.0021645021645021645,0.42424242424242425,0,1,0,0,0,2,0,0,0,0,0,0,1,4,0,0,1,2,0,0,0,1,0,0,3,4,1,0,8,12,12,18,56,94,24,43,31,76,38,88,36,70
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed6,6,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,60,11,0,8,10,2,0,3,0.40604026845637586,0.0,0.21476510067114093,0.33557046979865773,0.013422818791946308,0.0,0.030201342281879196,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,48,63,7,7,39,111,53,81,5,6,18,37,22,43
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed7,7,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,57,0,0,13,0,0,17,4,0.0,0.0,0.35654008438818563,0.0,0.0,0.609704641350211,0.03375527426160337,0,0,1,0,0,5,0,0,0,5,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,7,15,16,33,38,85,17,27,15,26,57,125,44,58
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed8,8,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,55,13,0,13,2,6,0,0,0.4470899470899471,0.0,0.4470899470899471,0.010582010582010581,0.09523809523809523,0.0,0.0,0,0,0,0,0,0,0,0,7,8,4,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,80,95,12,12,58,114,20,42,30,33,18,41,6,13
run_1v6_myRUSSIA_myconsistent_oppdipnet_seed9,9,1v6,RUSSIA,consistent,dipnet,stop_after_W1913A,W1913A,60,0,0,7,2,1,14,10,0.0,0.0,0.14,0.011428571428571429,0.002857142857142857,0.56,0.2857142857142857,0,3,0,0,0,0,0,0,4,0,0,0,3,4,2,0,4,2,0,1,0,3,0,0,0,3,1,0,12,21,19,21,22,50,39,61,19,29,54,66,40,56
